id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,local_file
809281,Buteo,lineatus,Red-shouldered Hawk,39.1767,-84.6557,call,2023-06-16,09:23,0:54,A,"Immature bird perched in elm with grapevine tangle, then moving to a bare branch of a dead ash or walnut. Habitat is a suburban area surrounded by small patches of woodland and hedgerows with scattered trees in semi-open.",uncertain,juvenile,"Melospiza melodia, Turdus migratorius",Buteo_lineatus_Green_Township_near__Cincinnati_Hamilton_County_Ohio_809281.mp3,Original Recordings\Buteo_lineatus_Green_Township_near__Cincinnati_Hamilton_County_Ohio_809281.mp3
691446,Buteo,lineatus,Red-shouldered Hawk,39.283,-84.7459,call,2021-12-14,07:48,0:23,A,Bird began calling after photos taken. Continued calling after flying from tall deciduous tree overlooking marsh.,uncertain,adult,"Spinus tristis, Cardinalis cardinalis",Buteo_lineatus_Miami_Whitewater_Forest_Park_wetlands_Crosby_Township_near__Harrison_Hamilton_County_Ohio_691446.mp3,Original Recordings\Buteo_lineatus_Miami_Whitewater_Forest_Park_wetlands_Crosby_Township_near__Harrison_Hamilton_County_Ohio_691446.mp3
673003,Buteo,lineatus,Red-shouldered Hawk,39.1722,-84.643,call,2021-09-07,11:00,0:09,A,One of three birds. Only one calling at a time in recording. One silently flying overhead. (I marked bird seen:no because the one that was calling remained hidden in the leaves. The one seen was not the one calling. Noise reduction but no high-pass filter.,uncertain,,"Spinus tristis, Contopus virens",Buteo_lineatus_Green_Township_near__Cincinnati_Hamilton_County_Ohio_673003.mp3,Original Recordings\Buteo_lineatus_Green_Township_near__Cincinnati_Hamilton_County_Ohio_673003.mp3
44321,Buteo,lineatus,Red-shouldered Hawk,39.192,-84.555,call,2006-02-25,10:30,0:13,A,while soaring,,,"Turdus migratorius, Cardinalis cardinalis",Buteo_lineatus_Tanglewood_Lane_Cincinnati_Ohio_44321.mp3,Original Recordings\Buteo_lineatus_Tanglewood_Lane_Cincinnati_Ohio_44321.mp3
477606,Buteo,lineatus,Red-shouldered Hawk,39.5734,-84.0131,call,2019-05-15,12:30,0:07,C,Natural vocalization,,,Vireo flavifrons,Buteo_lineatus_Spring_Valley_near__Waynesville_Greene_Cty_Ohio_477606.mp3,Original Recordings\Buteo_lineatus_Spring_Valley_near__Waynesville_Greene_Cty_Ohio_477606.mp3
17118,Buteo,lineatus,Red-shouldered Hawk,41.93338,-83.54994,call,2007-07-16,?,0:34,D,Adult with fledged young; traffic noise in background,,,"Cardinalis cardinalis, Cyanocitta cristata",Buteo_lineatus_Michigan_Monroe_County_17118.mp3,Original Recordings\Buteo_lineatus_Michigan_Monroe_County_17118.mp3
17117,Buteo,jamaicensis,Red-tailed Hawk,41.93338,-83.54994,"call, calls",2007-07-18,?,0:26,B,Recently fledged young begging,,juvenile,"Sialia sialis, Passer domesticus",Buteo_jamaicensis_Michigan_Monroe_County_17117.mp3,Original Recordings\Buteo_jamaicensis_Michigan_Monroe_County_17117.mp3
17116,Buteo,jamaicensis,Red-tailed Hawk,41.93338,-83.54994,call,2007-07-16,?,0:35,B,,,,"Agelaius phoeniceus, Spinus tristis, Turdus migratorius",Buteo_jamaicensis_Michigan_Monroe_County_17116.mp3,Original Recordings\Buteo_jamaicensis_Michigan_Monroe_County_17116.mp3
580333,Tyto,furcata,American Barn Owl,41.1339,-81.4846,"flight call, nocturnal flight call",2020-08-01,03:30,0:03,A,"Nocturnal flight call, the loudest one of three in a series of similar calls over a couple minutes. The calls before and after this were fainter, indicating that it was flying overhead.  The microphone is an Oldbird 21c setup on our roof to record nocturnal flight calls.",uncertain,uncertain,,Tyto_furcata_Cuyahoga_Falls_Summit_County_Ohio_580333.mp3,Original Recordings\Tyto_furcata_Cuyahoga_Falls_Summit_County_Ohio_580333.mp3
760069,Bubo,virginianus,Great Horned Owl,39.0276,-83.9197,"call, song",2022-11-06,21:30,1:05,A,"Small edits were made to the original recording including noise reduction, fade in/out, and amplification. No splitting or shortening of intervals. The owls were recorded for more than one hour but this segment was selected as it had the least background noise to contend with. Rural habitat; large open fields with rolling / varied topography; a creek is surrounded by large mature trees (pine, oak, birch, maple) and meanders through the countryside. The owls (two males and one female) were heard calling back and forth. One of the males flew in and perched 50 ft. above the recorder. These are resident Great Horned Owls and we have witnessed the pair using the dead trees on the opposite side of our street as a perch over the past several years. Hearing a second male encroaching, the male perched above the recorder took flight in the direction of the other male and disappeared into the night. Shortly after the male departed, the female flew in and landed in the same tree and began calling. This is the female segment of the recording. ",female,adult,Charadrius vociferus,Bubo_virginianus_Green_Township_near__Mount_Orab_Brown_County_Ohio_760069.mp3,Original Recordings\Bubo_virginianus_Green_Township_near__Mount_Orab_Brown_County_Ohio_760069.mp3
